text,label
የሸሸ ፀጉርን መልሰው የሚያበቅሉ ምትሀተኛ  እቤት የሰሩ መድሀኒቶች! https://www.harotube.com/watch.php?vid=195202ea8,1
አምልጧቸው ተናገሩ! | እነ ዶ/ር መራራ ጃዋርን አሁን ለምን ለመቀበል ፈለጉ?? https://www.youtube.com/watch?v=zvl8maO-h6k,1
የከተማ አስተዳደሩ የመንግሥት አገልግሎት አሰጣጥ ላይ መሰረታዊ ለዉጥ ለማምጣት በትኩረት እንደሚሰራ ኢ/ር ታከለ ኡማ አስታወቁ ,0
ሰበር ዜና👂 እነመስገናለን ቻይና🙏 የአፍሪካ ፈርጥ የሆነች ኢትዮጵያ በቅርብ ቀን💪 ቻይና ለኢትዮጵያ የጦር መሳሪያ ሽያጭ እና ድጋፍ እንደምታደርግ ገለፀች! የቻይናው ፕሬዚዳንት ሺ ጂንፒንግ ከወራት በፊት በቤጂንግ ከዶ/ር አብይ አህመድ ጋር በደረጉት ውይይት ቃል የገቡትን የዘመናዊ የጦር መሳሪያ ሽያጭ እና ድጋፍ ተግባራዊ ሊያደርጉ ነው🙏 ኢትዮጵያ ከቻይና ከምትገዛቸው የጦር መሳሪያዎች መካከል 19 ሄሊኮፕተር ይገኝበታል!! ይህን ሊንክ ተጭነው ሙሉ ቪዲዮውን ይመልከቱ በቻይና ድጋፍ ደስ የተሰኘ እስኪ በላይክ፤ሼር ይደመር👍 https://www.hahuhulu.com/watch.php?vid=9c7efef07,1
ቶሺባ ከኢትዮጵያ ኤሌክትሪክ ሀይል ኮርፖሬሽን  ጋር በከርሰ ምድር ሀይል ማመንጨት ዙሪያ በትብብር ለመስራት የሚያስችለውን የመግባቢያ ስምምነት ተፈራረመ፡፡  ስምምነቱ ሁለቱ ተቋማት በሀይል ማመንጨት ፕሮጀክትና በሰው ሀብት ልማት በትብብር እንዲሰሩ  ያስችላቸዋል ነው የተባለው፡፡  ሙሉውን ዜና http://www.fanabc.com/index.php/news/item/2522-2014-09-29-09-02-49.html ላይ ማግኘት ይችላሉ!,0
"በመላው ዓለም የሚገኙ ሳይንቲስቶች ለኮቪድ-19 ፈውስ የሚሆን መድኃኒት ለመቀመም ሩጫ ላይ ናቸው። ቤይጂንግ በበኩሏ በዚህ ፈታኝ ሰዓት የባሕል መድኃኒቶቿን ከፍ ከፍ ማድረግ ሥራዬ ብላ ተያይዛዋለች። ሰሞኑን በቻይና መንግሥት የተሰራጨ አንድ መረጃ እንደሚያትተው ""በወረርሽኙ ከተያዙት 92 እጅ የሚሆኑት ቻይናዊያን በአንድም ሆነ በሌላ ሁኔታ ሊፈወሱ የቻሉት የቻይና ባሕላዊ ሕክምና ረድቷቸው ነው"" ይላል። የቻይና የባሕል ሕክምና በዓለም ላይ ረዥም ክፍለ ዘመን ያስቆጠረና ውስብስብ ታሪክ ያለው ነው። ከሥራ ሥርና ከቅጠላ ቅጠል ቅመማ ጀምሮ እስከ ቻይና ደረቅ መርፌ ሕክምና (አኩፓንቸር) እንዲሁም ታይ ቺ (ከማርሻል አርት ጋር የተያያዘ በባሕላዊ ስፖርት እንቅስቃሴ ፈውስ የማግኘት ሂደት)፤ እነዚህ ሁሉ የቻይና ባሕላዊ ሕክምና ውስጥ የሚካተቱ ናቸው። ታይ ቺ አእምሮንና ሰውነትን የማዋሀድና የማናበብ እንቅስቃሴ ነው። በቻይና ኅብረተሰብ ውስጥ የባሕል ሕክምና ሰፊ ተቀባይነት ያለው ሲሆን፤ ከአባት ወደ ልጅ ከትውልድ ትውልድ ሲወርድ ሲወራረድ የመጣና በቻይናዊያን ባሕል ውስጥ ሰፊ ቦታ የሚሰጠው ነው። አሁን አሁን ግን ነገሩ ተቃውሞም እየገጠመው ይመስላል። በተለይ የባሕል ሕክምናው ሳይንስን ገሸሽ ማድረግ ሲጀምር ነገሩ ደስ ያላሰኛቸው የአዲሱ ትውልድ አባላት ""ኧረ ይሄ ነገር መስመር ሳተ"" ማለታቸው አልቀረም። https://bbc.in/2DzVzcw",0
ከጣና እምቦጭ በስተጀርባ ያለው ጉድ ሲጋለጥ https://youtu.be/Lt9XKfBDeo4,1
በኢትዮጵያ ተጨማሪ  773 ሰዎች የኮሮናቫይረስ ተገኘባቸው፤  205 ሰዎች ደግሞ አገግመዋል ,0
አቶ አንዳርጋቸው ፅጌ እና አቶ ኤፍሬም ማዴቦ አዲስ በሚመሰረተው ፓርቲ የአመራርነት ስፍራ አይዙም  አዲስ አበባ ፣ ሚያዚያ 30 ፣ 2011 (ኤፍ ቢ ሲ) ትናንት ራሱን ያከሰመው የአርበኞች ግንቦት ሰባት አመራር የነበሩት አቶ አንዳርጋቸው ፅጌ እና አቶ ኤፍሬም ማዴቦ አዲስ በሚመሰረተው ፓርቲ የአመራርነት ስፍራ አይዙም።  የቀድሞው አርበኞች ግንቦት ሰባት የፖለቲካ ጉዳዮች ዘርፍ ሃላፊ አቶ ኤፍሬም ማዴቦ ለፋና ብሮድካስቲንግ ኮርፖሬት እንደተናገሩት እሳቸው እና የድርጅቱ  ዋና ፅሃፊ  የነበሩት አቶ አንዳርጋቸው ፅጌ  ለአዲሱ ፓርቲ በአመራርነት የመመረጥ መብት አይኖራቸውም።  ይህም የሆነው ሁለቱ አመራሮች የውጪ ሀገር ዜግነት ስላላቸው እና የሀገሪቱ ህግ ለውጪ ሀገር ዜጎች የመመረጥ እና መምረጥ መብት ስለማይሰጥ ነው።  በዚህም ምክንያት አቶ ኤፍሬም እና አቶ አንድርጋቸው አርበኞች ግንቦት ሰባትን ጨምሮ ሰባት ፓርቲዎች ራሳቸውን አክስመው በሚመሰረቱት ፓርቲ የአመራርነት ሚና አይኖራቸውም ተብሏል።  አቶ ኤፍሬም እንደገለፁት ሁለቱ የቀድሞ የአርበኞች ግንቦት ሰባት አመራሮች በአዲሱ ፓርቲ የአማካሪነት እና የእገዛ ሚና ይኖራቸዋል።  አርበኞች ግንቦት ሰባት ትናንት ባካሄደው ጠቅላላ ጉባኤ ድርጅቱ ከስሞ  አርብ የሚመሰረተውን አዲስ ፓርቲ አካል እንዲሆን  መወሰኑ ይታወሳል።  በዳዊት መስፍን,0
የጂጂ ''አባይ'' ዘፈን ይዞት የመጣው ጣጣ… ድምፃዊቷ በዘፈኗ ለግብፅ ተላላኪ እንደነበርች ያሳያል!!!  ውዝግቡ እና የተሰጠው ድንቅ ምላሽ እንዲህ ይቀርባል… እናተስ ምን ትላላችሁ ? https://www.zena365.com/watch.php?vid=0686bc2ee,1
